YEAR,MONTH,DATE,STORE_CODE,CLASS,DIVISION,SEASON,NONINVENTORY,NET_SALE_QTY,NET_SALE_MRPVALUE,NET_SALE_VALUE,FRESH_SALE_QTY,FRESH_SALE_VALUE,DISCOUNTED_SALE_QTY,DISCOUNTED_SALE_VALUE,TAXAMT,NET_SALE_COSTVALUE
2020,Sep,2020-09-30,CBML-397,EBO,SHIRT,SS-20,No,164,308586,179994.75,33,59967,131,120027.75,18500.46,61176.57
2020,Sep,2020-09-30,CBML-442,DB,JEANS,SS-20,No,60,200740,120923.85,0,0,60,120923.85,12956.26,39716.23
2020,Sep,2020-09-30,CBML-044,EBO,SHIRT,SS-20,No,140,265860,160076.4,32,56568,108,103508.4,17028.46,52515.06
2020,Sep,2020-09-30,CBML-187,EBO,JEANS,SS-20,No,142,482458,287380.35,-1,-3699,143,291079.35,30791.14,94213.56
2020,Sep,2020-09-30,CBML-187,EBO,SHIRT,SS-20,No,332,646768,387171.65,11,18989,321,368182.65,38544.56,129060.47
2020,Sep,2020-09-30,CBML-380,EBO,SHIRT,SS-20,No,213,399837,242613.75,50,88500,163,154113.75,25395.46,79381.22
2020,Sep,2020-09-30,CBML-185,EBO,JEANS,SS-20,No,65,219735,132036,0,0,65,132036,14146.86,42983.24
2020,Sep,2020-09-30,CBML-130,EBO,SHIRT,SS-20,No,198,394652,237396.05,6,10844,192,226552.05,23991.92,78073.7
2020,Sep,2020-09-30,CBML-229,EBO,SHIRT,SS-20,No,239,473111,279212,10,17240,229,261972,27510.62,93392.95
2020,Sep,2020-09-30,CBML-244,EBO,SHIRT,SS-20,No,128,245072,144546.85,-2,-3598,130,148144.85,14227.55,48335.89
2020,Sep,2020-09-30,CBML-211,EBO,JEANS,SS-20,No,178,608822,366657.75,0,0,178,366657.75,39285.26,117899.44
2020,Sep,2020-09-30,CBML-089,EBO,JEANS,SS-20,No,80,270820,164376.31,0,0,80,164376.31,17611.94,53357.34
2020,Sep,2020-09-30,CBML-053,EBO,SHIRT,SS-20,No,109,200341,115278.05,24,42326,85,72952.05,11930.52,39853.96
2020,Sep,2020-09-30,CBML-447,EBO,MASK,AW-20,No,10,2490,2490,10,2490,0,0,118.6,545.65
2020,Sep,2020-09-30,CBML-086,EBO,SHIRT,SS-20,No,243,466657,269146.9,46,83704,197,185442.9,27567.28,92741.89
2020,Sep,2020-09-30,CBML-355,EBO,T-SHIRT,SS-20,No,125,179975,105966.85,10,15190,115,90776.85,6167.02,36995
2020,Sep,2020-09-30,CBML-053,EBO,JEANS,SS-20,No,39,130661,77796.85,-1,-2999,40,80795.85,8335.46,25399.42
2020,Sep,2020-09-30,CBML-279,EBO,JEANS,SS-20,No,76,256924,154154.4,0,0,76,154154.4,16516.64,50722.19
2020,Sep,2020-09-30,CBML-431,DB,SHIRT,SS-20,No,38,73862,43497.75,2,3498,36,39999.75,4546.44,14728.71
2020,Sep,2020-09-30,CBML-431,DB,JEANS,SS-20,No,16,51484,30890.4,0,0,16,30890.4,3309.72,10103.94
2020,Sep,2020-09-30,CBML-460,EBO,SHIRT,SS-20,No,297,569553,338452.85,59,114041,238,224411.85,33863.12,114925.23
2020,Sep,2020-09-30,CBML-098,EBO,T-SHIRT,SS-20,No,81,111619,56933.5,31,43969,50,12964.5,5188.75,23325
2020,Sep,2020-09-30,CBML-453,EBO,T-SHIRT,SS-20,No,37,51363,26681.5,14,21286,23,5395.5,2549.5,10668
2020,Sep,2020-09-30,CBML-451,EBO,TROUSER,SS-20,No,7,25193,15115.8,0,0,7,15115.8,1619.52,4356.22
2020,Sep,2020-09-30,CBML-187,EBO,T-SHIRT,SS-20,No,152,211548,126459.3,4,6096,148,120363.3,6527.08,44091
2020,Sep,2020-09-30,CBML-276,FO,SHIRT,AW-19,No,21,43079,21539.5,0,0,21,21539.5,1516.62,8839.8
2020,Sep,2020-09-30,CBML-400,EBO,ACCESSORIES,S-20,No,7,21693,13465.65,0,0,7,13465.65,2054.06,7141.57
2020,Sep,2020-09-30,CBML-012,EBO,T-SHIRT,SS-20,No,93,123907,73249.95,4,6596,89,66653.95,4023.36,25391
2020,Sep,2020-09-30,CBML-301,FO,T-SHIRT,AW-19,No,77,130823,65411.5,0,0,77,65411.5,3612.13,28187
2020,Sep,2020-09-30,CBML-300,EBO,JEANS,SS-20,No,14,44986,26991.6,0,0,14,26991.6,2892,8930.71
2020,Sep,2020-09-30,CBML-386,EBO,SHIRT,SS-20,No,251,483199,290353.74,4,7346,247,283007.74,27392.55,94876.39
2020,Sep,2020-09-30,CBML-228,EBO,SHIRT,SS-20,No,342,676708,406996.11,2,3498,340,403498.11,40911.86,135138.77
2020,Sep,2020-09-30,CBML-353,FO,SHIRT,AW-19,No,93,197307,98653.5,0,0,93,98653.5,7039.36,40907.64
2020,Sep,2020-09-30,CBML-128,EBO,JEANS,SS-20,No,34,117966,69654.9,0,0,34,69654.9,7463.14,22698.37
2020,Sep,2020-09-30,CBML-060,EBO,SHIRT,SS-20,No,183,346317,204372.75,24,43176,159,161196.75,20991.09,68751.53
2020,Sep,2020-09-30,CBML-365,FO,JEANS,AW-19,No,89,291711,146295.3,0,0,89,146295.3,15674.28,61286.49
2020,Sep,2020-09-30,CBML-271,EBO,SHIRT,SS-20,No,33,60567,33741.8,5,9095,28,24646.8,3254.76,11902.21
2020,Sep,2020-09-30,CBML-366,FO,JOGGERS,SS-19,No,3,7097,3548.5,0,0,3,3548.5,380.2,1760
2020,Sep,2020-09-30,CBML-069,EBO,SHIRT,SS-20,No,109,201291,117077.35,34,59866,75,57211.35,12362.34,40154.98
2020,Sep,2020-09-30,CBML-390,EBO,MASK,AW-20,No,8,1992,1992,8,1992,0,0,94.88,447.98
2020,Sep,2020-09-30,CBML-150,EBO,SHIRT,SS-20,No,117,224783,135470.4,21,37779,96,97691.4,14033.2,44984.52
2020,Sep,2020-09-30,CBML-016,EBO,TROUSER,SS-20,No,7,21893,13135.8,0,0,7,13135.8,1407.42,4114.12
2020,Sep,2020-09-30,CBML-262,EBO,JEANS,SS-20,No,68,230832,134260.4,-3,-10597,71,144857.4,14385.22,45209.94
2020,Sep,2020-09-30,CBML-354,FO,SHIRT,AW-19,No,107,219293,109646.5,0,0,107,109646.5,7818.63,43713.31
2020,Sep,2020-09-30,CBML-423,FO,SHIRT,AW-18,No,2,4298,2149,0,0,2,2149,167.78,914.67
2020,Sep,2020-09-30,CBML-040,EBO,JEANS,SS-20,No,75,257725,152790.65,-2,-5998,77,158788.65,16370.66,50113.96
2020,Sep,2020-09-30,CBML-072,EBO,JEANS,SS-20,No,68,228732,138663.75,0,0,68,138663.75,14857.06,44940.46
2020,Sep,2020-09-30,CBML-449,EBO,SHIRT,SS-20,No,98,193852,114902.15,16,30134,82,84768.15,12005.92,38637.79
2020,Sep,2020-09-30,CBML-003,EBO,SHIRT,SS-20,No,215,413835,252391.3,1,1699,214,250692.3,23930.02,81246.5
2020,Sep,2020-09-30,CBML-219,EBO,JEANS,SS-20,No,23,75077,45106.2,0,0,23,45106.2,4832.88,14954.98
2020,Sep,2020-09-30,CBML-007,EBO,SHIRT,AW-20,No,25,54075,54075,25,54075,0,0,5793.86,11108.19
2020,Sep,2020-09-30,CBML-122,EBO,JEANS,SS-20,No,243,833457,501093.9,0,0,243,501093.9,53689.32,160855.6
2020,Sep,2020-09-30,CBML-133,EBO,JEANS,SS-20,No,45,150955,89163.45,0,0,45,89163.45,9553.38,29291.46
2020,Sep,2020-09-30,CBML-111,EBO,JEANS,SS-20,No,82,269218,163426.8,0,0,82,163426.8,17510.18,53943.46
2020,Sep,2020-09-30,CBML-371,EBO,T-SHIRT,SS-20,No,50,68850,41724.75,1,1599,49,40125.75,2300.48,14294
2020,Sep,2020-09-30,CBML-414,EBO,ACCESSORIES,S-19,No,1,3199,1599.5,0,0,1,1599.5,244,828.749
2020,Sep,2020-09-30,CBML-316,EBO,SHIRT,SS-20,No,186,371214,223596.4,8,14142,178,209454.4,22284.52,73862.14
2020,Sep,2020-09-30,CBML-269,FO,SHIRT,SS-20,No,21,37979,24631.4,1,1799,20,22832.4,2460.64,7664.79
2020,Sep,2020-09-30,CBML-123,EBO,T-SHIRT,SS-20,No,75,97325,50446.7,35,46265,40,4181.7,4494.56,20047
2020,Sep,2020-09-30,CBML-188,EBO,T-SHIRT,SS-20,No,43,54657,32789.25,1,999,42,31790.25,1561.26,11341
2020,Sep,2020-09-30,CBML-367,EBO,MASK,AW-20,No,8,1992,1992,8,1992,0,0,94.88,433.05
2020,Sep,2020-09-30,CBML-428,EBO,ACCESSORIES,S-20,No,10,31290,18774,0,0,10,18774,2863.78,10400.27
2020,Sep,2020-09-30,CBML-110,EBO,T-SHIRT,SS-20,No,31,45169,18887,13,18887,18,0,1904.68,9432
2020,Sep,2020-09-30,CBML-323,EBO,T-SHIRT,SS-20,No,10,13890,7494.45,0,0,10,7494.45,356.84,2896
2020,Sep,2020-09-30,CBML-157,EBO,T-SHIRT,SS-20,No,60,76340,45564.6,6,7794,54,37770.6,2455.1,15834
2020,Sep,2020-09-30,CBML-268,FO,T-SHIRT,SS-19,No,19,26281,13140.5,0,0,19,13140.5,625.76,5891.4
2020,Sep,2020-09-30,CBML-268,FO,T-SHIRT,AW-19,No,105,176295,88147.5,0,0,105,88147.5,4813.76,37106
2020,Sep,2020-09-30,CBML-295,FO,SHIRT,AW-19,No,120,250930,125465,0,0,120,125465,8818.9,50135.58
2020,Sep,2020-09-30,CBML-432,EBO,SHIRT,SS-20,No,74,140026,87468.7,22,38278,52,49190.7,9129.2,28022.43
2020,Sep,2020-09-30,CBML-273,EBO,SHIRT,SS-20,No,95,180505,108323.01,0,-300,95,108623.01,10228.34,35425.57
2020,Sep,2020-09-30,CBML-308,EBO,SHIRT,SS-20,No,150,287350,170426.4,40,75210,110,95216.4,18081.98,57246.64
2020,Sep,2020-09-30,CBML-308,EBO,JEANS,SS-20,No,71,240629,145262.1,0,0,71,145262.1,15564,46456.03
2020,Sep,2020-09-30,CBML-385,EBO,MASK,AW-20,No,5,1245,1245,5,1245,0,0,59.3,275.22
2020,Sep,2020-09-30,CBML-413,EBO,JEANS,SS-20,No,47,153953,92371.8,0,0,47,92371.8,9897.14,30405.07
2020,Sep,2020-09-30,CBML-073,FO,JEANS,CLS,No,4,8796,6377.1,0,0,4,6377.1,683.24,2119.3
2020,Sep,2020-09-30,CBML-341,EBO,SHIRT,SS-20,No,104,202746,118014.65,-1,-1699,105,119713.65,12102.28,40382.92
2020,Sep,2020-09-30,CBML-368,EBO,SHIRT,SS-20,No,93,173507,99711.9,21,36879,72,62832.9,10319.68,33893.91
2020,Sep,2020-09-30,CBML-264,EBO,JEANS,SS-20,No,96,326104,194217.9,-2,-6498,98,200715.9,20809.28,62784.97
2020,Sep,2020-09-30,CBML-268,FO,SHIRT,SS-19,No,73,140127,70063.5,0,0,73,70063.5,3641.54,27831.67
2020,Sep,2020-09-30,CBML-268,FO,SHIRT,AW-19,No,139,285161,142580.5,0,0,139,142580.5,9968.66,56791.72
2020,Sep,2020-09-30,CBML-138,EBO,SHIRT,SS-20,No,5,9295,5577,0,0,5,5577,479.76,1866.79
2020,Sep,2020-09-30,CBML-304,EBO,T-SHIRT,SS-20,No,59,87541,37080.55,21,32779,38,4301.55,3645.46,17791
2020,Sep,2020-09-30,CBML-243,FO,SHIRT,FW-19,No,6,12094,6047,0,0,6,6047,359.36,2400.01
2020,Sep,2020-09-30,CBML-409,EBO,SHIRT,SS-20,No,191,370459,222620.3,4,6896,187,215724.3,21780.74,73855.18
2020,Sep,2020-09-30,CBML-328,EBO,SHIRT,AW-20,No,5,9995,9995,5,9995,0,0,1070.92,2004.82
2020,Sep,2020-09-30,CBML-250,EBO,MASK,AW-20,No,7,1743,1743,7,1743,0,0,83.02,389.68
2020,Sep,2020-09-30,CBML-085,FO,T-SHIRT,FS-19,No,7,9843,4921.5,0,0,7,4921.5,234.38,2260
2020,Sep,2020-09-30,CBML-293,EBO,SHIRT,SS-20,No,122,229728,137110.15,26,45724,96,91386.15,13841.34,45930.69
2020,Sep,2020-09-30,CBML-389,EBO,MASK,AW-20,No,13,3237,3237,13,3237,0,0,154.18,706.69
2020,Sep,2020-09-30,CBML-108,EBO,TROUSER,SS-20,No,7,22993,13795.8,0,0,7,13795.8,1478.12,4194.04
2020,Sep,2020-09-30,CBML-362,EBO,JEANS,SS-20,No,118,399582,240768.9,0,0,118,240768.9,25797.08,77374.51
2020,Sep,2020-09-30,CBML-211,EBO,MASK,AW-20,No,11,2739,2739,11,2739,0,0,130.46,598.09
2020,Sep,2020-09-30,CBML-434,FO,T-SHIRT,SS-19,No,15,19535,9767.5,0,0,15,9767.5,465.04,4281
2020,Sep,2020-09-30,CBML-002,EBO,SHIRT,SS-20,No,25,47175,25806.4,7,12793,18,13013.4,2704.38,9355.03
2020,Sep,2020-09-30,CBML-315,EBO,SHIRT,SS-20,No,97,184553,111246.6,20,36480,77,74766.6,11502.18,36655.09
2020,Sep,2020-09-30,CBML-295,FO,T-SHIRT,SS-19,No,16,26084,13042,0,0,16,13042,621.14,5471
2020,Sep,2020-09-30,CBML-223,EBO,SHIRT,AW-20,No,18,34882,34882,18,34882,0,0,3737.44,7062.23
2020,Sep,2020-09-30,CBML-328,EBO,TROUSER,SS-20,No,12,39888,23932.8,0,0,12,23932.8,2564.22,7201.4
2020,Sep,2020-09-30,CBML-214,EBO,ACCESSORIES,S-20,No,11,32789,20198.25,0,0,11,20198.25,3081.04,10602.88
2020,Sep,2020-09-30,CBML-448,FO,T-SHIRT,SS-20,No,19,22681,12649.9,8,10192,11,2457.9,1090.12,4694
2020,Sep,2020-09-30,CBML-236,EBO,ACCESSORIES,S-20,No,7,20493,12670.65,0,0,7,12670.65,1932.78,6651.08
2020,Sep,2020-09-30,CBML-318,EBO,TROUSER,SS-20,No,5,14695,8817,0,0,5,8817,944.7,2869.57
2020,Sep,2020-09-30,CBML-236,EBO,MASK,AW-20,No,8,1992,1992,8,1992,0,0,94.88,445.05
2020,Sep,2020-09-30,CBML-353,FO,JEANS,SS-20,No,37,125063,76462.35,0,0,37,76462.35,8192.5,24372.67
2020,Sep,2020-09-30,CBML-383,EBO,MASK,AW-20,No,9,2241,2241,9,2241,0,0,106.74,496.14
2020,Sep,2020-09-30,CBML-364,FO,JEANS,SS-19,No,11,33289,17524.1,0,0,11,17524.1,1877.57,7234.1
2020,Sep,2020-09-30,CBML-116,EBO,T-SHIRT,SS-20,No,108,145692,73307.25,49,68751,59,4556.25,6929.1,29880
2020,Sep,2020-09-30,CBML-290,FO,T-SHIRT,SS-20,No,40,57160,35690.35,2,3298,38,32392.35,2382.08,11658
2020,Sep,2020-09-30,CBML-125,EBO,JEANS,CLS,No,6,13194,9015.9,0,0,6,9015.9,965.96,3297.46
2020,Sep,2020-09-30,CBML-151,EBO,T-SHIRT,SS-20,No,85,123715,73084.25,5,8195,80,64889.25,4039.16,25361
2020,Sep,2020-09-30,CBML-301,FO,T-SHIRT,SS-19,No,13,19137,9568.5,0,0,13,9568.5,455.68,4104
2020,Sep,2020-09-30,CBML-372,EBO,MASK,AW-20,No,11,2739,2739,11,2739,0,0,130.46,598.6
2020,Sep,2020-09-30,CBML-314,EBO,MASK,AW-20,No,43,10707,10707,43,10707,0,0,509.98,2358.8
2020,Sep,2020-09-30,CBML-450,EBO,SHIRT,AW-20,No,16,32884,32884,16,32884,0,0,3523.35,6738.67
2020,Sep,2020-09-30,CBML-405,EBO,TROUSER,SS-20,No,5,14695,8457.1,0,0,5,8457.1,906.14,2886.35
2020,Sep,2020-09-30,CBML-328,EBO,ACCESSORIES,S-20,No,16,46784,28070.4,0,0,16,28070.4,4281.86,14813.04
2020,Sep,2020-09-30,CBML-122,EBO,TROUSER,SS-20,No,19,60681,36408.6,0,0,19,36408.6,3900.94,11249.26
2020,Sep,2020-09-30,CBML-268,FO,JEANS,AW-18,No,3,9897,4948.5,0,0,3,4948.5,530.2,1970.43
2020,Sep,2020-09-30,CBML-302,FO,SWEAT SHIRT,AW-19,No,1,2199,1099.5,0,0,1,1099.5,117.8,480
2020,Sep,2020-09-30,CBML-286,FO,T-SHIRT,FW-19,No,3,6797,3398.5,0,0,3,3398.5,304.64,1475
2020,Sep,2020-09-30,CBML-286,FO,JOGGERS,AW-19,No,4,12796,6398,0,0,4,6398,685.48,2871.42
2020,Sep,2020-09-30,CBML-321,EBO,JEANS,CLS,No,2,4398,3078.6,0,0,2,3078.6,329.84,1075.32
2020,Sep,2020-09-30,CBML-326,EBO,MASK,AW-20,No,32,7968,7943.95,31,7719,1,224.95,378.38,1760.2
2020,Sep,2020-09-30,CBML-437,EBO,TROUSER,SS-20,No,6,17194,10316.4,0,0,6,10316.4,1105.36,3422.95
2020,Sep,2020-09-30,CBML-314,EBO,TROUSER,SS-20,No,8,26592,15955.2,0,0,8,15955.2,1709.48,4819.73
2020,Sep,2020-09-30,CBML-447,EBO,TROUSER,SS-20,No,15,45185,27650.85,0,0,15,27650.85,2962.64,8698.58
2020,Sep,2020-09-30,CBML-369,FO,JOGGERS,SS-19,No,-1,-2299,-1149.5,0,0,-1,-1149.5,-123.16,-560
2020,Sep,2020-09-30,CBML-290,FO,JEANS,SS-20,No,38,135162,82101.9,0,0,38,82101.9,8796.71,25857.59
2020,Sep,2020-09-30,CBML-412,EBO,ACCESSORIES,S-20,No,9,27691,16614.6,0,0,9,16614.6,2534.42,8939.03
2020,Sep,2020-09-30,CBML-290,FO,MASK,AW-20,No,10,2490,2490,10,2490,0,0,118.6,547.51
2020,Sep,2020-09-30,CBML-178,EBO,JEANS,SS-20,No,36,119764,72323.25,0,0,36,72323.25,7748.98,23987.97
2020,Sep,2020-09-30,CBML-384,EBO,MASK,AW-20,No,17,4233,4233,17,4233,0,0,201.62,929.98
2020,Sep,2020-09-30,CBML-396,EBO,TROUSER,SS-20,No,10,31590,18954,0,0,10,18954,2030.8,5903.66
2020,Sep,2020-09-30,CBML-295,FO,SHIRT,FW-19,No,17,32333,16166.5,0,0,17,16166.5,912.72,6272.6
2020,Sep,2020-09-30,CBML-394,EBO,JEANS,SS-20,No,86,283514,171128.1,0,0,86,171128.1,18335.34,56304.21
2020,Sep,2020-09-30,CBML-232,FO,T-SHIRT,SS-19,No,9,10691,5345.5,0,0,9,5345.5,254.5,2198
2020,Sep,2020-09-30,CBML-316,EBO,TROUSER,SS-20,No,4,12196,7317.6,0,0,4,7317.6,784.04,2333.75
2020,Sep,2020-09-30,CBML-249,EBO,MASK,AW-20,No,16,3984,3735,15,3735,1,0,177.9,878.89
2020,Sep,2020-09-30,CBML-388,EBO,MASK,AW-20,No,7,1743,1743,7,1743,0,0,83.02,385.96
2020,Sep,2020-09-30,CBML-190,EBO,ACCESSORIES,S-20,No,14,39686,24261.45,0,0,14,24261.45,3700.84,12960.11
2020,Sep,2020-09-30,CBML-079,EBO,ACCESSORIES,S-20,No,11,33589,20153.4,0,0,11,20153.4,3074.22,11068.27
2020,Sep,2020-09-30,CBML-364,FO,SHIRT,SS-20,No,16,31234,20232.15,0,0,16,20232.15,1992.82,6197.29
2020,Sep,2020-09-30,CBML-350,FO,JEANS,AW-18,No,5,17695,8847.5,0,0,5,8847.5,947.94,3491.38
2020,Sep,2020-09-30,CBML-167,EBO,JEANS,SS-20,No,42,140658,84409.8,0,0,42,84409.8,9044.04,27669.9
2020,Sep,2020-09-30,CBML-315,EBO,JOGGERS,AW-19,No,1,2999,1499.5,0,0,1,1499.5,160.66,659.7
2020,Sep,2020-09-30,CBML-268,FO,JEANS,AW-19,No,113,378287,189143.5,0,0,113,189143.5,20265.28,79801.69
2020,Sep,2020-09-30,CBML-342,EBO,T-SHIRT,SS-20,No,67,85933,50260.75,1,499,66,49761.75,2303.9,17690
2020,Sep,2020-09-30,CBML-120,EBO,T-SHIRT,SS-20,No,47,61853,33615.95,23,31877,24,1738.95,3177.14,13068
2020,Sep,2020-09-30,CBML-406,EBO,JEANS,CLS,No,5,10995,7256.7,0,0,5,7256.7,777.48,2752.44
2020,Sep,2020-09-30,CBML-412,EBO,SHIRT,AW-20,No,22,44878,44878,22,44878,0,0,4808.46,9106.4
2020,Sep,2020-09-30,CBML-268,FO,ACCESSORIES,S-19,No,4,12496,6248,0,0,4,6248,953.1,3255.621
2020,Sep,2020-09-30,CBML-286,FO,T-SHIRT,SS-19,No,4,6696,3348,0,0,4,3348,159.46,1387
2020,Sep,2020-09-30,CBML-148,FO,SWEAT SHIRT,AW-19,No,1,2499,1249.5,0,0,1,1249.5,133.88,580
2020,Sep,2020-09-30,CBML-135,FO,SHIRT,FW-19,No,7,13743,6871.5,0,0,7,6871.5,403.12,2732.84
2020,Sep,2020-09-30,CBML-457,EBO,JOGGERS,AW-19,No,4,13196,6598,0,0,4,6598,706.92,2919.88
2020,Sep,2020-09-30,CBML-410,FO,SHIRT,SS-19,No,8,14792,7396,0,0,8,7396,352.24,2944.39
2020,Sep,2020-09-30,CBML-410,FO,T-SHIRT,SS-19,No,9,13191,6595.5,0,0,9,6595.5,314.1,2927
2020,Sep,2020-09-30,CBML-058,EBO,MASK,AW-20,No,12,2988,2988,12,2988,0,0,142.32,652.11
2020,Sep,2020-09-30,CBML-196,EBO,MASK,AW-20,No,6,1494,1494,6,1494,0,0,71.16,329.52
2020,Sep,2020-09-30,CBML-030,EBO,TROUSER,SS-20,No,6,18294,10976.4,0,0,6,10976.4,1176.06,3504.43
2020,Sep,2020-09-30,CBML-250,EBO,JEANS,CLS,No,7,15393,9895.5,0,0,7,9895.5,1060.2,3759.32
2020,Sep,2020-09-30,CBML-354,FO,JEANS,SS-19,No,2,5198,3038.8,0,0,2,3038.8,325.58,1241
2020,Sep,2020-09-30,CBML-048,EBO,T-SHIRT,SS-20,No,43,55457,36886.35,0,0,43,36886.35,2465.88,11571
2020,Sep,2020-09-30,CBML-364,FO,JACKET,AW-19,No,2,7598,3799,0,0,2,3799,407.04,1619.54
2020,Sep,2020-09-30,CBML-364,FO,T-SHIRT,SS-20,No,11,16189,9873.3,1,1599,10,8274.3,708.12,3279
2020,Sep,2020-09-30,CBML-391,EBO,MASK,AW-20,No,2,498,498,2,498,0,0,23.72,111.53
2020,Sep,2020-09-30,CBML-135,FO,TROUSER,AW-19,No,1,2999,1499.5,0,0,1,1499.5,160.66,721.89
2020,Sep,2020-09-30,CBML-419,EBO,TROUSER,SS-20,No,10,31590,18954,0,0,10,18954,2030.8,5911.27
2020,Sep,2020-09-30,CBML-395,EBO,TROUSER,SS-20,No,1,2499,1499.4,0,0,1,1499.4,160.66,544.99
2020,Sep,2020-09-30,CBML-402,EBO,JEANS,SS-20,No,61,201639,121988.1,0,0,61,121988.1,13070.34,39314.48
2020,Sep,2020-09-30,CBML-353,FO,ACCESSORIES,S-19,No,1,2499,1249.5,0,0,1,1249.5,190.6,648.34
2020,Sep,2020-09-30,CBML-107,EBO,MASK,AW-20,No,17,4233,4233,17,4233,0,0,201.62,935.05
2020,Sep,2020-09-30,CBML-268,FO,SHIRT,FW-18,No,6,10394,5197,0,0,6,5197,247.52,1982.98
2020,Sep,2020-09-30,CBML-064,EBO,ACCESSORIES,S-20,No,3,8797,5278.2,0,0,3,5278.2,805.14,2813.69
2020,Sep,2020-09-30,CBML-440,FO,T-SHIRT,AW-19,No,12,22188,11094,0,0,12,11094,808,4724
2020,Sep,2020-09-30,CBML-359,EBO,JEANS,SS-19,No,2,4398,3078.6,0,0,2,3078.6,329.84,1038.84
2020,Sep,2020-09-30,CBML-448,FO,SHIRT,AW-19,No,56,116694,58347,0,0,56,58347,4138.12,23179.87
2020,Sep,2020-09-30,CBML-042,EBO,JEANS,AW-20,No,1,3599,3599,1,3599,0,0,385.6,634.52
2020,Sep,2020-09-30,CBML-149,EBO,ACCESSORIES,S-20,No,8,23792,15674.8,1,3499,7,12175.8,2391.04,7564.54
